run_accession	sample_title	fastq_ftp	fastq_aspera
SRR4204939	Oocyte_S1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/009/SRR4204939/SRR4204939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/009/SRR4204939/SRR4204939_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/009/SRR4204939/SRR4204939_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/009/SRR4204939/SRR4204939_2.fastq.gz
SRR4204940	Oocyte_S2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/000/SRR4204940/SRR4204940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/000/SRR4204940/SRR4204940_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/000/SRR4204940/SRR4204940_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/000/SRR4204940/SRR4204940_2.fastq.gz
SRR4204941	Oocyte_S3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/001/SRR4204941/SRR4204941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/001/SRR4204941/SRR4204941_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/001/SRR4204941/SRR4204941_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/001/SRR4204941/SRR4204941_2.fastq.gz
SRR4204942	Zygote_S4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/002/SRR4204942/SRR4204942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/002/SRR4204942/SRR4204942_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/002/SRR4204942/SRR4204942_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/002/SRR4204942/SRR4204942_2.fastq.gz
SRR4204943	Zygote_S5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/003/SRR4204943/SRR4204943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/003/SRR4204943/SRR4204943_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/003/SRR4204943/SRR4204943_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/003/SRR4204943/SRR4204943_2.fastq.gz
SRR4204944	Zygote_S6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/004/SRR4204944/SRR4204944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/004/SRR4204944/SRR4204944_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/004/SRR4204944/SRR4204944_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/004/SRR4204944/SRR4204944_2.fastq.gz
SRR4204945	EGKI_S1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/005/SRR4204945/SRR4204945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/005/SRR4204945/SRR4204945_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/005/SRR4204945/SRR4204945_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/005/SRR4204945/SRR4204945_2.fastq.gz
SRR4204946	EGKI_S2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/006/SRR4204946/SRR4204946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/006/SRR4204946/SRR4204946_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/006/SRR4204946/SRR4204946_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/006/SRR4204946/SRR4204946_2.fastq.gz
SRR4204947	EGKI_S4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/007/SRR4204947/SRR4204947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/007/SRR4204947/SRR4204947_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/007/SRR4204947/SRR4204947_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/007/SRR4204947/SRR4204947_2.fastq.gz
SRR4204948	EGKIII_S3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/008/SRR4204948/SRR4204948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/008/SRR4204948/SRR4204948_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/008/SRR4204948/SRR4204948_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/008/SRR4204948/SRR4204948_2.fastq.gz
SRR4204949	EGKIII_S4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/009/SRR4204949/SRR4204949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/009/SRR4204949/SRR4204949_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/009/SRR4204949/SRR4204949_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/009/SRR4204949/SRR4204949_2.fastq.gz
SRR4204950	EGKIII_S5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/000/SRR4204950/SRR4204950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/000/SRR4204950/SRR4204950_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/000/SRR4204950/SRR4204950_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR420/000/SRR4204950/SRR4204950_2.fastq.gz
