fastq_ftp	sra_ftp	experiment_accession	scientific_name	experiment_title	run_accession	secondary_study_accession	study_accession	submitted_format	study_title	sample_accession	fastq_aspera	sample_title	tax_id	submitted_ftp
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/016/SRR11452216/SRR11452216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/016/SRR11452216/SRR11452216_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/016/SRR11452216	SRX8030022	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos low pH treatment	SRR11452216	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486771	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/016/SRR11452216/SRR11452216_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/016/SRR11452216/SRR11452216_2.fastq.gz	133_fert_embryo_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/017/SRR11452217/SRR11452217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/017/SRR11452217/SRR11452217_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/017/SRR11452217	SRX8030021	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos ambient pH treatment	SRR11452217	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486770	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/017/SRR11452217/SRR11452217_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/017/SRR11452217/SRR11452217_2.fastq.gz	132_fert_embryo_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11452218/SRR11452218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/018/SRR11452218/SRR11452218_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/018/SRR11452218	SRX8030020	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos low pH treatment	SRR11452218	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486769	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/018/SRR11452218/SRR11452218_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/018/SRR11452218/SRR11452218_2.fastq.gz	131_fert_embryo_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/019/SRR11452219/SRR11452219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/019/SRR11452219/SRR11452219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/019/SRR11452219	SRX8030019	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos extra low pH treatment	SRR11452219	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486768	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/019/SRR11452219/SRR11452219_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/019/SRR11452219/SRR11452219_2.fastq.gz	130_fert_embryo_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/020/SRR11452220/SRR11452220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/020/SRR11452220/SRR11452220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/020/SRR11452220	SRX8030018	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata fertilized embryos extra low pH treatment	SRR11452220	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486767	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/020/SRR11452220/SRR11452220_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/020/SRR11452220/SRR11452220_2.fastq.gz	129_fert_embryo_extra_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/021/SRR11452221/SRR11452221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/021/SRR11452221/SRR11452221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/021/SRR11452221	SRX8030017	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae  low  pH treamtent	SRR11452221	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486809	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/021/SRR11452221/SRR11452221_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/021/SRR11452221/SRR11452221_2.fastq.gz	379_planulae_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/022/SRR11452222/SRR11452222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/022/SRR11452222/SRR11452222_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/022/SRR11452222	SRX8030016	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae ambient pH treamtent	SRR11452222	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486808	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/022/SRR11452222/SRR11452222_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/022/SRR11452222/SRR11452222_2.fastq.gz	375_planulae_ambient	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/023/SRR11452223/SRR11452223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/023/SRR11452223/SRR11452223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/023/SRR11452223	SRX8030015	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae  low  pH treamtent	SRR11452223	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486807	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/023/SRR11452223/SRR11452223_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/023/SRR11452223/SRR11452223_2.fastq.gz	373_planulae_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11452224/SRR11452224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/024/SRR11452224/SRR11452224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/024/SRR11452224	SRX8030014	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae  low  pH treamtent	SRR11452224	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486806	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/024/SRR11452224/SRR11452224_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/024/SRR11452224/SRR11452224_2.fastq.gz	371_planulae_low	46704	
ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11452225/SRR11452225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/025/SRR11452225/SRR11452225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR114/025/SRR11452225	SRX8030013	Montipora capitata	Illumina HiSeq 4000 sequencing; RNAseq of Montipora capitata planulae extra low  pH treamtent	SRR11452225	SRP254626	PRJNA616341		Montipora capitata multiple developmental stages in OA treatments RNASeq reads	SAMN14486805	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/025/SRR11452225/SRR11452225_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR114/025/SRR11452225/SRR11452225_2.fastq.gz	367_planulae_extra_low	46704	
