run_accession	sample_title	fastq_ftp	fastq_aspera
SRR3710279	Stage_14_wt_No_chx_RNA_1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/009/SRR3710279/SRR3710279.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/009/SRR3710279/SRR3710279.fastq.gz
SRR3710280	Activated_egg_wt_No_chx_RNA_2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/000/SRR3710280/SRR3710280.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/000/SRR3710280/SRR3710280.fastq.gz
SRR3710281	Activated_egg_png_Chx_RNA_6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/001/SRR3710281/SRR3710281.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/001/SRR3710281/SRR3710281.fastq.gz
SRR3710282	Stage_14_wt_No_chx_RPF_7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/002/SRR3710282/SRR3710282.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/002/SRR3710282/SRR3710282.fastq.gz
SRR3710283	Activated_egg_wt_No_chx_RPF_8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/003/SRR3710283/SRR3710283.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/003/SRR3710283/SRR3710283.fastq.gz
SRR3710284	Activated_egg_png_Chx_RPF_12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/004/SRR3710284/SRR3710284.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/004/SRR3710284/SRR3710284.fastq.gz
SRR3710285	Stage_12_wt_Chx_RNA_13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/005/SRR3710285/SRR3710285.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/005/SRR3710285/SRR3710285.fastq.gz
SRR3710286	Stage_13_wt_Chx_RNA_14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/006/SRR3710286/SRR3710286.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/006/SRR3710286/SRR3710286.fastq.gz
SRR3710287	Stage_14_png_Chx_RNA_15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/007/SRR3710287/SRR3710287.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/007/SRR3710287/SRR3710287.fastq.gz
SRR3710288	Stage_12_wt_Chx_RPF_16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/008/SRR3710288/SRR3710288.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR371/008/SRR3710288/SRR3710288.fastq.gz
