study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_aspera	sample_title
PRJNA275011	SAMN03338634	SRS841802	SRX870838	SRR1795535	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795535/SRR1795535_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795535/SRR1795535_2.fastq.gz	ClutchA_polyA_0_hpf
PRJNA275011	SAMN03338679	SRS841801	SRX870839	SRR1795536	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795536/SRR1795536_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795536/SRR1795536_2.fastq.gz	ClutchA_polyA_0.5_hpf
PRJNA275011	SAMN03338566	SRS841803	SRX870840	SRR1795537	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795537/SRR1795537_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795537/SRR1795537_2.fastq.gz	ClutchA_polyA_1_hpf
PRJNA275011	SAMN03338521	SRS841799	SRX870841	SRR1795538	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795538/SRR1795538_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795538/SRR1795538_2.fastq.gz	ClutchA_polyA_1.5_hpf
PRJNA275011	SAMN03338669	SRS841798	SRX870842	SRR1795539	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795539/SRR1795539_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795539/SRR1795539_2.fastq.gz	ClutchA_polyA_2_hpf
PRJNA275011	SAMN03338652	SRS841797	SRX870843	SRR1795540	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795540/SRR1795540_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795540/SRR1795540_2.fastq.gz	ClutchA_polyA_2.5_hpf
PRJNA275011	SAMN03338660	SRS841796	SRX870844	SRR1795541	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795541/SRR1795541_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795541/SRR1795541_2.fastq.gz	ClutchA_polyA_3_hpf
PRJNA275011	SAMN03338654	SRS841800	SRX870845	SRR1795542	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795542/SRR1795542_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795542/SRR1795542_2.fastq.gz	ClutchA_polyA_3.5_hpf
PRJNA275011	SAMN03338550	SRS841806	SRX870846	SRR1795543	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795543/SRR1795543_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795543/SRR1795543_2.fastq.gz	ClutchA_polyA_4_hpf
PRJNA275011	SAMN03338644	SRS841804	SRX870847	SRR1795544	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795544/SRR1795544_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795544/SRR1795544_2.fastq.gz	ClutchA_polyA_4.5_hpf
PRJNA275011	SAMN03338639	SRS841805	SRX870848	SRR1795545	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795545/SRR1795545_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795545/SRR1795545_2.fastq.gz	ClutchA_polyA_5_hpf
PRJNA275011	SAMN03338525	SRS841793	SRX870849	SRR1795546	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795546/SRR1795546_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795546/SRR1795546_2.fastq.gz	ClutchA_polyA_5.5_hpf
PRJNA275011	SAMN03338613	SRS841792	SRX870850	SRR1795547	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795547/SRR1795547_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795547/SRR1795547_2.fastq.gz	ClutchA_polyA_6_hpf
PRJNA275011	SAMN03338692	SRS841794	SRX870851	SRR1795548	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795548/SRR1795548_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795548/SRR1795548_2.fastq.gz	ClutchA_polyA_6.5_hpf
PRJNA275011	SAMN03338608	SRS841791	SRX870852	SRR1795549	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795549/SRR1795549_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795549/SRR1795549_2.fastq.gz	ClutchA_polyA_7_hpf
PRJNA275011	SAMN03338527	SRS841790	SRX870853	SRR1795550	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795550/SRR1795550_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795550/SRR1795550_2.fastq.gz	ClutchA_polyA_7.5_hpf
PRJNA275011	SAMN03338623	SRS841789	SRX870854	SRR1795551	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795551/SRR1795551_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795551/SRR1795551_2.fastq.gz	ClutchA_polyA_8_hpf
PRJNA275011	SAMN03338567	SRS841788	SRX870855	SRR1795552	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795552/SRR1795552_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795552/SRR1795552_2.fastq.gz	ClutchA_polyA_8.5_hpf
PRJNA275011	SAMN03338598	SRS841786	SRX870856	SRR1795553	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795553/SRR1795553_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795553/SRR1795553_2.fastq.gz	ClutchA_polyA_9_hpf
PRJNA275011	SAMN03338574	SRS841784	SRX870857	SRR1795554	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795554/SRR1795554_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795554/SRR1795554_2.fastq.gz	ClutchA_polyA_9.5_hpf
PRJNA275011	SAMN03338547	SRS841782	SRX870858	SRR1795555	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795555/SRR1795555_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795555/SRR1795555_2.fastq.gz	ClutchA_polyA_10_hpf
PRJNA275011	SAMN03338531	SRS841781	SRX870859	SRR1795556	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795556/SRR1795556_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795556/SRR1795556_2.fastq.gz	ClutchA_polyA_10.5_hpf
PRJNA275011	SAMN03338680	SRS841783	SRX870860	SRR1795557	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795557/SRR1795557_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795557/SRR1795557_2.fastq.gz	ClutchA_polyA_11_hpf
PRJNA275011	SAMN03338561	SRS841778	SRX870861	SRR1795558	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795558/SRR1795558_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795558/SRR1795558_2.fastq.gz	ClutchA_polyA_11.5_hpf
PRJNA275011	SAMN03338584	SRS841777	SRX870862	SRR1795559	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795559/SRR1795559_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795559/SRR1795559_2.fastq.gz	ClutchA_polyA_12_hpf
PRJNA275011	SAMN03338565	SRS841780	SRX870863	SRR1795560	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795560/SRR1795560_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795560/SRR1795560_2.fastq.gz	ClutchA_polyA_12.5_hpf
PRJNA275011	SAMN03338583	SRS841776	SRX870864	SRR1795561	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795561/SRR1795561_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795561/SRR1795561_2.fastq.gz	ClutchA_polyA_13_hpf
PRJNA275011	SAMN03338702	SRS841779	SRX870865	SRR1795562	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795562/SRR1795562_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795562/SRR1795562_2.fastq.gz	ClutchA_polyA_13.5_hpf
PRJNA275011	SAMN03338530	SRS841775	SRX870866	SRR1795563	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795563/SRR1795563_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795563/SRR1795563_2.fastq.gz	ClutchA_polyA_14_hpf
PRJNA275011	SAMN03338637	SRS841795	SRX870867	SRR1795564	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795564/SRR1795564_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/004/SRR1795564/SRR1795564_2.fastq.gz	ClutchA_polyA_14.5_hpf
PRJNA275011	SAMN03338528	SRS841773	SRX870868	SRR1795565	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795565/SRR1795565_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/005/SRR1795565/SRR1795565_2.fastq.gz	ClutchA_polyA_15_hpf
PRJNA275011	SAMN03338619	SRS841772	SRX870869	SRR1795566	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795566/SRR1795566_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/006/SRR1795566/SRR1795566_2.fastq.gz	ClutchA_polyA_15.5_hpf
PRJNA275011	SAMN03338569	SRS841771	SRX870870	SRR1795567	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795567/SRR1795567_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/007/SRR1795567/SRR1795567_2.fastq.gz	ClutchA_polyA_16_hpf
PRJNA275011	SAMN03338581	SRS841774	SRX870871	SRR1795568	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795568/SRR1795568_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/008/SRR1795568/SRR1795568_2.fastq.gz	ClutchA_polyA_16.5_hpf
PRJNA275011	SAMN03338676	SRS841767	SRX870872	SRR1795569	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795569/SRR1795569_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/009/SRR1795569/SRR1795569_2.fastq.gz	ClutchA_polyA_17_hpf
PRJNA275011	SAMN03338607	SRS841766	SRX870873	SRR1795570	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795570/SRR1795570_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/000/SRR1795570/SRR1795570_2.fastq.gz	ClutchA_polyA_17.5_hpf
PRJNA275011	SAMN03338663	SRS841787	SRX870874	SRR1795571	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795571/SRR1795571_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/001/SRR1795571/SRR1795571_2.fastq.gz	ClutchA_polyA_18_hpf
PRJNA275011	SAMN03338570	SRS841765	SRX870875	SRR1795572	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795572/SRR1795572_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/002/SRR1795572/SRR1795572_2.fastq.gz	ClutchA_polyA_18.5_hpf
PRJNA275011	SAMN03338672	SRS841785	SRX870876	SRR1795573	8364	Xenopus tropicalis	Illumina HiSeq 2000	PAIRED	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795573/SRR1795573_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR179/003/SRR1795573/SRR1795573_2.fastq.gz	ClutchA_polyA_19_hpf
