BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	developmental_stage_s	rip_antibody_s	source_name_s	strain_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN06821171	SRX2754888	2017-04-24	619	353	SRR5469986	SRS2140151	GSM2587284	0-1 hr embryo	none	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821170	SRX2754889	2017-04-24	730	416	SRR5469987	SRS2140150	GSM2587285	0-1 hr embryo	anti-PABP (a synthetically generated antibody, purified according to Na et al, 2016)	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821169	SRX2754890	2017-04-24	706	399	SRR5469988	SRS2140153	GSM2587286	1-2 hr embryo	none	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821168	SRX2754891	2017-04-24	773	440	SRR5469989	SRS2140152	GSM2587287	1-2 hr embryo	anti-PABP (a synthetically generated antibody, purified according to Na et al, 2016)	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821167	SRX2754892	2017-04-24	677	387	SRR5469990	SRS2140154	GSM2587288	2-3 hr embryo	none	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821166	SRX2754893	2017-04-24	814	469	SRR5469991	SRS2140155	GSM2587289	2-3 hr embryo	anti-PABP (a synthetically generated antibody, purified according to Na et al, 2016)	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821165	SRX2754894	2017-04-24	601	344	SRR5469992	SRS2140156	GSM2587290	3-4 hr embryo	none	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821182	SRX2754895	2017-04-24	787	450	SRR5469993	SRS2140157	GSM2587291	3-4 hr embryo	anti-PABP (a synthetically generated antibody, purified according to Na et al, 2016)	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821181	SRX2754896	2017-04-24	693	394	SRR5469994	SRS2140159	GSM2587292	4-5 hr embryo	none	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
SAMN06821180	SRX2754897	2017-04-24	771	438	SRR5469995	SRS2140158	GSM2587293	4-5 hr embryo	anti-PABP (a synthetically generated antibody, purified according to Na et al, 2016)	Embryo	w1118	RIP-Seq	51	PRJNA384004	GEO	public	0	Illumina HiSeq 2500	SINGLE	other	TRANSCRIPTOMIC	Drosophila melanogaster	ILLUMINA	2017-09-15	SRP105068
