id  expt_name   species
SRR4204939  HWANG   chicken
SRR4204940  HWANG   chicken
SRR4204941  HWANG   chicken
SRR4204942  HWANG   chicken
SRR4204943  HWANG   chicken
SRR4204944  HWANG   chicken
SRR4204945  HWANG   chicken
SRR4204946  HWANG   chicken
SRR4204947  HWANG   chicken
SRR4204948  HWANG   chicken
SRR4204949  HWANG   chicken
SRR4204950  HWANG   chicken
SRR4204951  HWANG   chicken
SRR4204952  HWANG   chicken
SRR4204953  HWANG   chicken
SRR4204954  HWANG   chicken
SRR4204955  HWANG   chicken
SRR4204956  HWANG   chicken
SRR4204957  HWANG   chicken
SRR4204958  HWANG   chicken
SRR4204959  HWANG   chicken
