id  expt_name   species
SRR1795535  OWENS_POLYA   xenopus_t
SRR1795536  OWENS_POLYA   xenopus_t
SRR1795537  OWENS_POLYA   xenopus_t
SRR1795538  OWENS_POLYA   xenopus_t
SRR1795539  OWENS_POLYA   xenopus_t
SRR1795540  OWENS_POLYA   xenopus_t
SRR1795541  OWENS_POLYA   xenopus_t
SRR1795542  OWENS_POLYA   xenopus_t
SRR1795543  OWENS_POLYA   xenopus_t
SRR1795544  OWENS_POLYA   xenopus_t
SRR1795545  OWENS_POLYA   xenopus_t
SRR1795546  OWENS_POLYA   xenopus_t
SRR1795547  OWENS_POLYA   xenopus_t
SRR1795548  OWENS_POLYA   xenopus_t
SRR1795549  OWENS_POLYA   xenopus_t
SRR1795550  OWENS_POLYA   xenopus_t
SRR1795551  OWENS_POLYA   xenopus_t
SRR1795552  OWENS_POLYA   xenopus_t
SRR1795553  OWENS_POLYA   xenopus_t
SRR1795679  OWENS_POLYA   xenopus_t
SRR1795680  OWENS_POLYA   xenopus_t
SRR1795681  OWENS_POLYA   xenopus_t
SRR1795682  OWENS_POLYA   xenopus_t
SRR1795683  OWENS_POLYA   xenopus_t
SRR1795684  OWENS_POLYA   xenopus_t
SRR1795685  OWENS_POLYA   xenopus_t
SRR1795686  OWENS_POLYA   xenopus_t
SRR1795687  OWENS_POLYA   xenopus_t
SRR1795688  OWENS_POLYA   xenopus_t
SRR1795689  OWENS_POLYA   xenopus_t
SRR1795690  OWENS_POLYA   xenopus_t
SRR1795691  OWENS_POLYA   xenopus_t
SRR1795692  OWENS_POLYA   xenopus_t
SRR1795693  OWENS_POLYA   xenopus_t
SRR1795694  OWENS_POLYA   xenopus_t
SRR1795695  OWENS_POLYA   xenopus_t
SRR1795696  OWENS_POLYA   xenopus_t
SRR1795697  OWENS_POLYA   xenopus_t
