id  expt_name   species
ZMP_phenotype_133_B WHITE zebrafish
ZMP_phenotype_133_D WHITE zebrafish
ZMP_phenotype_133_E WHITE zebrafish
ZMP_phenotype_133_F WHITE zebrafish
ZMP_phenotype_133_G WHITE zebrafish
ZMP_phenotype_129_B WHITE zebrafish
ZMP_phenotype_129_C WHITE zebrafish
ZMP_phenotype_129_D WHITE zebrafish
ZMP_phenotype_129_E WHITE zebrafish
ZMP_phenotype_129_G WHITE zebrafish
ZMP_phenotype_131_B WHITE zebrafish
ZMP_phenotype_131_C WHITE zebrafish
ZMP_phenotype_131_D WHITE zebrafish
ZMP_phenotype_131_E WHITE zebrafish
ZMP_phenotype_131_F WHITE zebrafish
ZMP_phenotype_128_B WHITE zebrafish
ZMP_phenotype_128_C WHITE zebrafish
ZMP_phenotype_128_D WHITE zebrafish
ZMP_phenotype_128_E WHITE zebrafish
ZMP_phenotype_128_F WHITE zebrafish
ZMP_phenotype_115_B WHITE zebrafish
ZMP_phenotype_115_C WHITE zebrafish
ZMP_phenotype_115_D WHITE zebrafish
ZMP_phenotype_115_E WHITE zebrafish
ZMP_phenotype_115_F WHITE zebrafish
ZMP_phenotype_124_B WHITE zebrafish
ZMP_phenotype_124_C WHITE zebrafish
ZMP_phenotype_124_D WHITE zebrafish
ZMP_phenotype_124_E WHITE zebrafish
ZMP_phenotype_124_F WHITE zebrafish
ZMP_phenotype_127_B WHITE zebrafish
ZMP_phenotype_127_C WHITE zebrafish
ZMP_phenotype_127_D WHITE zebrafish
ZMP_phenotype_127_E WHITE zebrafish
ZMP_phenotype_127_F WHITE zebrafish
ZMP_phenotype_123_B WHITE zebrafish
ZMP_phenotype_123_C WHITE zebrafish
ZMP_phenotype_123_D WHITE zebrafish
ZMP_phenotype_123_F WHITE zebrafish
ZMP_phenotype_123_G WHITE zebrafish
