intron	gene	TPM	PSI	intron_position	intron_length	intron_type	ss5_maxEnt	ss3_maxEnt	contains_enhancer	upexon_length	downexon_length	three_length	ie_count_5m	ie_count_10m	ie_count_20m	ee_count_5m	ee_count_10m	ee_count_20m	halflife	halflife_error	accuracy
chr3R:19825356:19825839:-@chr3R:19825902:19826502:-	FBgn0020647	104.4418	0.01	8	63	RI	3.71	5.33	0	600	483	2579	92	57	30	108	245	353	1.607421875	0.0284152652696965	0.0075187969924812
chr2R:18810155:18811887:-@chr2R:18811947:18812085:-	FBgn0010660	32.0264	0.04	2	60	CI	8.99	7.71	0	138	1732	5427	27	25	26	56	107	105	2.46953125	0.0824851447194727	0.0149253731343284
chr3L:4259430:4259668:+@chr3L:4259744:4260057:+	FBgn0035519	46.3738	0.02	1	76	CI	11.81	6.68	0	238	313	1899	25	27	15	27	78	129	1.9078125	0.0645994629765757	0.0344827586206897
chrX:14127138:14127296:-@chrX:14127454:14127592:-	FBgn0259166	29.97801	0.09	2	158	SEflanking	7.76	NA	0	138	158	5203	10	14	7	26	40	54	2.03046875	0.0820111995998658	0.0344827586206897
chr2L:10419190:10419302:+@chr2L:10419359:10419423:+	FBgn0032244	73.0584	0.13	1	57	CI	4.27	9.58	0	112	64	1253	43	40	31	32	37	88	4.09765625	0.0483714582541483	0.0277777777777778
chr2L:10264549:10264633:+@chr2L:10264764:10264885:+	FBgn0032202	229.9636	0.04	NA	131	CI	NA	NA	0	84	121	465	6	6	5	53	58	131	0.52109375	0.107916945399719	NA
chr2L:7693727:7694996:-@chr2L:7695073:7695971:-	FBgn0041182	38.07605	0.005	7	77	CI	8.31	5.45	0	898	1269	1269	1	3	0	20	47	38	0.214697265625	0.0035611294792708	0.0285714285714286
chrX:1587648:1589507:-@chrX:1589565:1589922:-	FBgn0023130	8.462029	0.095	1	58	CI	1.84	7.94	0	357	1859	1859	6	2	14	16	16	28	2.98203125	0.287416437508969	0.0434782608695652
chrX:11506209:11507297:+@chrX:11507370:11509161:+	FBgn0030321	63.43594	0	2	73	CI	9.25	NA	0	1088	1791	1791	12	5	10	29	81	138	0.8970703125	0.0605560763897599	0.0294117647058824
chr3R:11666994:11667127:+@chr3R:11667179:11667768:+	FBgn0003483	9.12506	0.03	5	52	CI	10.65	6.97	0	133	589	2958	24	9	13	13	32	55	2.740625	0.123681989106149	0.0476190476190476
chr2R:4619427:4619468:-@chr2R:4619665:4619910:-	FBgn0086784	24.37006	0.08	4	197	SEflanking	6.99	-0.93	0	245	41	2461	92	93	62	11	44	54	10.565625	0.241085868174253	0.5
chr3R:12972443:12973073:-@chr3R:12973137:12973459:-	FBgn0038488	9.55746	0.05	2	64	CI	8.51	6.61	0	322	630	2876	22	11	7	37	53	72	1.5234375	0.0696643666643672	0.0277777777777778
chr3L:9773636:9773797:+@chr3L:9773866:9774108:+	FBgn0036043	26.20206	0.015	7	69	CI	7.7	5.8	0	161	242	5700	7	0	2	15	13	29	0.99765625	0.0483742577941892	0.0625
chr2L:10411431:10411822:-@chr2L:10411881:10411961:-	FBgn0032242	99.5778	0.01	6	59	CI	8.88	8.01	0	80	391	1285	32	10	10	58	83	124	1.106640625	0.0234019913307006	0.0166666666666667
chr3R:22013029:22013436:-@chr3R:22013493:22013996:-	FBgn0039417	32.60922	0.02	NA	57	CI	NA	NA	0	503	407	696	13	14	7	13	30	61	1.95078125	0.0428895903174758	NA
chr2L:5203116:5203742:+@chr2L:5204451:5204592:+	FBgn0261836	14.06898	0.065	26	709	RI	10.28	3.99	0	626	141	2551	26	10	5	9	27	28	2.6671875	0.0822579127109303	0.0833333333333333
chr3L:8105594:8105814:+@chr3L:8106112:8106506:+	FBgn0027549	47.84115	0.06	NA	298	CI	NA	NA	0	220	394	394	41	27	23	18	47	114	2.6765625	0.042472079212277	NA
chr3L:12198626:12198813:-@chr3L:12198876:12198991:-	FBgn0036266	12.7866	0.18	2	63	CI	0.11	6.73	0	115	187	1590	9	16	3	10	14	36	2.50859375	0.126334866074094	0.0833333333333333
chr2L:16744124:16744385:+@chr2L:16744690:16745107:+	FBgn0032600	72.44743	0.025	3	305	RI	4.9	3.3	0	261	417	9014	43	37	22	31	82	123	3.59921875	0.0965855892028757	0.0333333333333333
chr3R:6692251:6692415:-@chr3R:6692531:6692682:-	FBgn0037847	41.46108	0.015	NA	116	RI	NA	NA	0	151	164	3338	6	6	4	12	20	34	1.78828125	0.0762934726547859	NA
chr3R:6147187:6147304:-@chr3R:6147384:6147869:-	FBgn0266717	22.14963	0.025	16	80	CI	10.08	4.89	0	485	117	9543	31	16	4	51	66	74	2.024609375	0.136928881177179	0.0166666666666667
chrX:15223043:15223900:+@chrX:15223965:15224082:+	FBgn0015926	13.89601	0.145	3	65	CI	-0.08	NA	0	857	117	1070	29	39	25	9	9	26	9.4375	0.129346758902682	0.1
chr3R:10485160:10485304:+@chr3R:10485466:10486032:+	FBgn0038251	25.66531	0.045	1	162	CI	4.79	8.79	0	144	566	1433	8	12	10	13	27	58	2.17734375	0.0734995795574547	0.0666666666666667
chrX:8774325:8774433:-@chrX:8785595:8785840:-	FBgn0011661	576.5039	0.115	1	11162	CI	3.73	NA	2	245	108	7388	52	26	17	463	645	779	0.48818359375	0.0183108289908822	0.0499325236167341
chrX:14978062:14978298:-@chrX:14978386:14978595:-	FBgn0030610	197.689	0.01	2	88	CI	10.1	NA	0	209	236	236	74	66	71	36	52	145	4.953125	0.0321056892484503	0.0454545454545455
chr2L:20356562:20356801:+@chr2L:20360013:20360433:+	FBgn0015803	37.69541	0.135	5	3212	RI	8.31	8.98	0	239	420	5241	5	4	3	16	39	59	1.018359375	0.137332581601354	0.0526315789473684
chr3R:1831672:1831824:-@chr3R:1833759:1834295:-	FBgn0003261	305.3366663046	0.1	1	1935	CI	7.8	0.93	1	536	152	5676	210	136	73	78	182	350	3.9421875	0.0738878772382707	0.0104166666666667
chr3L:14023907:14024157:-@chr3L:14024489:14024806:-	FBgn0061515	163.0734	0.09	1	332	CI	9.6	7.13	0	317	250	1478	42	33	27	35	81	132	2.475	0.0638402840570872	0.0232558139534884
chr2L:10425483:10426124:-@chr2L:10426494:10426627:-	FBgn0262601	262.576	0	1	370	CI	11.01	6.24	0	133	641	641	64	48	36	155	212	375	1.251953125	0.0150855780910493	0.00574712643678161
chr3R:11051298:11051636:+@chr3R:11051688:11052248:+	FBgn0263979	149.8754	0.005	1	52	CI	11.01	2.9	1	338	560	1598	75	47	40	60	126	148	2.78515625	0.0274928043083455	0.0147058823529412
chr2R:11936831:11936914:+@chr2R:11936992:11937124:+	FBgn0034071	27.4655	0.015	9	78	CI	3.08	10.88	0	83	132	11348	16	10	3	47	66	81	1.4953125	0.0806572680502069	0.0263157894736842
chr3R:6237074:6237289:-@chr3R:6237351:6237520:-	FBgn0024957	50.888	0.02	3	62	CI	10.67	6.1	0	169	215	2949	20	11	4	17	46	54	1.71875	0.0885215969901162	0.0263157894736842
