flybase_transcript_id	pfam	pfam_start	pfam_end
FBtr0078584	PF01395	31	126
FBtr0078584	PF01395	140	239
FBtr0078585	PF01990	46	117
FBtr0078587	PF00050	149	193
FBtr0078587	PF07648	81	131
FBtr0078587	PF07648	335	383
FBtr0078588	PF07898	62	226
FBtr0078590	PF00001	103	373
FBtr0078591	NA	NA	NA
FBtr0078592	PF07898	90	268
FBtr0078593	PF07898	90	268
FBtr0078594	PF07898	50	221
FBtr0078595	PF07898	42	161
FBtr0078596	PF07898	60	228
FBtr0078597	PF07898	46	217
FBtr0078598	PF07898	67	224
FBtr0078599	PF07898	34	189
FBtr0078601	PF07898	39	207
FBtr0078601	PF07898	347	487
FBtr0078602	PF07898	55	214
FBtr0078604	PF07898	237	306
FBtr0078605	PF07898	65	151
FBtr0078606	PF07898	44	202
FBtr0078607	PF07898	30	163
FBtr0078608	PF07898	54	206
FBtr0078609	NA	NA	NA
FBtr0078610	PF07898	162	355
FBtr0078611	PF07898	43	203
FBtr0078614	PF07898	46	224
FBtr0078615	PF07898	183	261
FBtr0078616	PF00462	307	374
FBtr0078617	PF01395	25	134
FBtr0078618	PF01395	136	231
FBtr0078619	PF01607	23	78
FBtr0078619	PF01607	93	144
FBtr0078619	PF01607	169	218
FBtr0078620	PF02949	70	387
FBtr0078621	NA	NA	NA
FBtr0078623	PF00112	120	334
FBtr0078623	PF08246	30	84
FBtr0078624	PF07086	1	190
FBtr0078625	PF07086	1	190
FBtr0078627	PF00004	362	495
FBtr0078627	PF17862	526	576
FBtr0078628	PF00004	426	559
FBtr0078628	PF17862	590	640
FBtr0078629	PF01399	347	457
FBtr0078629	PF18098	464	494
FBtr0078630	PF10228	176	428
FBtr0078630	PF10283	3	28
FBtr0078631	PF00096	521	543
FBtr0078631	PF12874	252	271
FBtr0078638	PF13639	265	306
FBtr0078639	PF13639	258	299
FBtr0078640	PF00042	41	140
FBtr0078642	PF00083	86	483
FBtr0078643	PF00083	86	483
FBtr0078644	PF00083	86	483
FBtr0078645	NA	NA	NA
FBtr0078647	PF06239	34	242
FBtr0078647	PF14784	245	374
FBtr0078648	PF01400	142	338
FBtr0078649	PF00270	164	335
FBtr0078649	PF00271	376	483
FBtr0078650	PF00270	161	332
FBtr0078650	PF00271	373	480
FBtr0078651	PF00270	164	335
FBtr0078651	PF00271	376	483
FBtr0078652	PF00270	305	476
FBtr0078652	PF00271	517	624
FBtr0078653	PF00270	164	335
FBtr0078653	PF00271	376	483
FBtr0078654	PF00270	164	335
FBtr0078654	PF00271	376	483
FBtr0078655	PF01395	30	132
FBtr0078656	PF01395	44	145
FBtr0078657	NA	NA	NA
FBtr0078661	PF00009	217	428
FBtr0078662	PF00009	178	389
FBtr0078663	PF00009	178	389
FBtr0078664	PF00009	178	389
FBtr0078665	PF02460	474	639
FBtr0078666	PF03908	135	226
FBtr0078667	PF00531	609	686
FBtr0078667	PF11957	80	537
FBtr0078668	NA	NA	NA
FBtr0078669	PF10394	11	173
FBtr0078670	PF10394	11	173
FBtr0078672	PF03096	23	302
FBtr0078674	PF03096	23	305
FBtr0078675	PF03096	27	306
FBtr0078676	PF03096	27	197
FBtr0078677	PF02828	157	207
FBtr0078677	PF04048	32	143
FBtr0078678	PF05652	16	124
FBtr0078678	PF11969	154	270
FBtr0078679	PF00071	96	265
FBtr0078680	PF04379	286	368
FBtr0078680	PF08755	158	231
FBtr0078681	PF04379	307	389
FBtr0078681	PF08755	179	252
FBtr0078682	PF04855	164	232
FBtr0078682	PF04855	242	358
FBtr0078683	PF02237	982	1034
FBtr0078683	PF03099	798	915
FBtr0078684	PF01585	750	793
FBtr0078686	PF00520	2361	2681
FBtr0078686	PF01365	494	695
FBtr0078686	PF01365	1287	1434
FBtr0078686	PF02815	239	451
FBtr0078686	PF08454	2030	2137
FBtr0078686	PF08709	8	235
FBtr0078687	PF00520	2370	2690
FBtr0078687	PF01365	494	695
FBtr0078687	PF01365	1296	1443
FBtr0078687	PF02815	239	451
FBtr0078687	PF08454	2039	2146
FBtr0078687	PF08709	8	235
FBtr0078688	PF07522	482	578
FBtr0078688	PF12706	287	426
FBtr0078689	PF01569	153	304
FBtr0078692	PF01569	153	304
FBtr0078693	PF00071	8	164
FBtr0078694	PF00071	8	164
FBtr0078699	PF02301	10	101
FBtr0078700	PF01991	18	216
FBtr0078701	PF01991	18	216
FBtr0078704	PF04004	396	554
FBtr0078705	PF00572	9	116
FBtr0078706	NA	NA	NA
FBtr0078707	PF13561	13	252
FBtr0078708	PF13561	13	252
FBtr0078709	PF00109	24	271
FBtr0078709	PF02801	279	393
FBtr0078710	PF00626	640	726
FBtr0078710	PF04810	58	98
FBtr0078710	PF04811	127	398
FBtr0078710	PF04815	526	624
FBtr0078710	PF08033	409	512
FBtr0078711	PF00626	640	726
FBtr0078711	PF04810	58	98
FBtr0078711	PF04811	127	398
FBtr0078711	PF04815	526	624
FBtr0078711	PF08033	409	512
FBtr0078712	PF11571	210	291
FBtr0078713	PF00400	182	215
FBtr0078713	PF00400	220	257
FBtr0078713	PF00400	262	293
FBtr0078713	PF00400	308	343
FBtr0078713	PF00400	349	387
FBtr0078713	PF00400	399	429
FBtr0078714	PF00400	182	215
FBtr0078714	PF00400	220	257
FBtr0078714	PF00400	262	293
FBtr0078714	PF00400	308	343
FBtr0078714	PF00400	349	387
FBtr0078714	PF00400	399	429
FBtr0078716	PF10377	966	1081
FBtr0078720	PF06859	191	299
FBtr0078721	PF00389	35	345
FBtr0078721	PF02826	135	314
FBtr0078722	PF07714	148	369
FBtr0078723	PF11935	117	336
FBtr0078723	PF12295	887	1067
FBtr0078724	PF01743	90	213
FBtr0078724	PF12627	248	299
FBtr0078725	NA	NA	NA
FBtr0078726	PF03095	23	319
FBtr0078727	PF00071	39	197
FBtr0078728	NA	NA	NA
FBtr0078730	NA	NA	NA
FBtr0078732	PF13499	106	173
FBtr0078733	PF00249	352	396
FBtr0078733	PF00320	459	496
FBtr0078733	PF01426	4	50
FBtr0078733	PF01426	165	229
FBtr0078733	PF01448	232	284
FBtr0078733	PF17226	589	670
FBtr0078734	PF00249	316	360
FBtr0078734	PF00320	423	460
FBtr0078734	PF01426	4	50
FBtr0078734	PF01426	129	193
FBtr0078734	PF01448	196	248
FBtr0078734	PF17226	553	634
FBtr0078736	PF13561	12	251
FBtr0078737	PF13561	20	257
FBtr0078739	PF00786	36	52
FBtr0078740	PF00226	3	72
FBtr0078740	PF05207	125	178
FBtr0078741	PF04153	446	570
FBtr0078742	PF04153	440	564
FBtr0078743	NA	NA	NA
FBtr0078744	PF02020	339	415
FBtr0078745	PF02020	339	415
FBtr0078746	PF02020	339	415
FBtr0078747	PF02020	339	415
FBtr0078748	PF02020	339	415
FBtr0078749	PF02020	339	415
FBtr0078750	PF02020	339	415
FBtr0078751	PF11931	325	502
FBtr0078751	PF12108	74	99
FBtr0078751	PF13297	244	301
FBtr0078751	PF16837	128	206
FBtr0078752	PF00628	247	292
FBtr0078752	PF13639	154	196
FBtr0078753	PF00076	200	270
FBtr0078754	NA	NA	NA
FBtr0078755	PF00454	145	516
FBtr0078756	PF00454	292	663
FBtr0078757	PF00454	292	663
FBtr0078758	PF01135	9	224
FBtr0078761	NA	NA	NA
FBtr0078762	NA	NA	NA
FBtr0078763	PF00060	574	843
FBtr0078763	PF01094	57	273
FBtr0078763	PF01094	298	372
FBtr0078763	PF10562	854	882
FBtr0078763	PF10613	454	559
FBtr0078764	PF00324	141	642
FBtr0078764	PF03522	651	1068
FBtr0078765	PF00324	68	569
FBtr0078765	PF03522	578	995
FBtr0078766	PF00130	368	418
FBtr0078766	PF07714	681	939
FBtr0078766	PF13543	33	166
FBtr0078767	PF00850	23	318
FBtr0078768	NA	NA	NA
FBtr0078769	PF01247	50	151
FBtr0078770	PF00069	643	709
FBtr0078770	PF00069	926	1119
FBtr0078773	NA	NA	NA
FBtr0078774	PF08737	18	87
FBtr0078774	PF08737	129	305
FBtr0078775	PF08737	92	169
FBtr0078775	PF08737	211	387
FBtr0078777	PF07200	18	156
FBtr0078778	PF12460	608	886
FBtr0078778	PF14500	42	301
