http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=Tomkap&hgS_otherUserSessionName=ZLD,,,,,,,,,,,,,,,,,,,
PID,Chr,From,To,Peak,Height,Label,Link,Genes,Dists,TSS_gene,TSS_dist,St3_Height,St4_Height,St5_Height,Slope,Dynamics,Max_3_to_1_contamination,Max_1_to_3_contamination,DNaseI_st5
1,chr3L,19549830,19550160,19549980,10979.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:19544830-19555160,"CG9300,CG32210,CG14098,","-2108,-4596,-9585,", CG9300 ,4459,11365.6,11043.6,10528.4,-0.11, -- ,1.0795,0.9263,755.6561
2,chr2R,4119760,4120090,4119940,7205.7,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:4114760-4125090,"dpn,CG34217,pnut,","-108,-3711,4833,", dpn ,108,6564.9,7263.5,7788.7,0.25, -- ,0.8429,1.1864,291.3659
3,chr3R,11815060,11815400,11815190,6820.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:11810060-11820400,"srp,Hel89B,mor,","0,-6003,-16559,", srp ,3268,5686.9,7057.3,7773.9,0.45, /- ,0.7315,1.367,179.4158
4,chr3L,16107130,16107490,16107310,7407.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:16102130-16112490,"Taf4,Zn72D,CG12272,","0,-1822,7829,", Taf4 ,524,9664.4,7408.2,5180.1,-0.9, \\ ,1.8657,0.536,306.654
5,chr3L,19555290,19555750,19555530,6800.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:19550290-19560750,"Shal,CG9300,CG32210,","6007,-7658,-10146,", CG9300 ,10009,8232.1,6497.2,5772.2,-0.51, \- ,1.4262,0.7012,639.5341
6,chr3R,10643570,10644210,10643730,6052.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:10638570-10649210,"btsz,CG14857,CG14856,","0,-13663,-16843,", btsz ,77,5535.7,6466.4,6154.9,0.15, -- ,0.8994,1.1119,541.3236
7,chr3L,22395810,22396320,22396120,6020.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:22390810-22401320,"Ten-m,CG11449,laza,","0,51352,55795,", Ten-m ,4867,4631,6860.2,6593.7,0.51, /- ,0.7023,1.4238,419.7228
8,chr2R,6470410,6470860,6470710,5888.7,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:6465410-6475860,"psq,CG11883,lola,","0,34458,-39943,", psq ,488,5745.4,6146.9,5773.9,0.01, -- ,0.9951,1.005,723.7317
9,chr3R,9118990,9119360,9119180,5706.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:9113990-9124360,"wntD,CG8773,Osi22,","-260,1291,-1612,", wntD ,260,6783.5,5295.3,5164.6,-0.39, \- ,1.3135,0.7614,267.3226
10,chr2R,11018090,11018670,11018480,5693.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:11013090-11023670,"chn,CG34186,CG8089,","0,13992,14849,", chn ,2060,7433.3,5137.3,4577.1,-0.7, \- ,1.624,0.6158,73.8092
