flybase_gene_id	external_gene_name	refseq_mrna
FBgn0015380	drl	NM_001273637
FBgn0015380	drl	NM_057791
FBgn0010356	Taf5	NM_057609
FBgn0266023	lncRNA:CR44788	NA
FBgn0250732	gfzf	NM_001014610
FBgn0250732	gfzf	NM_001275406
FBgn0250732	gfzf	NM_001014609
FBgn0034710	Alp7	NM_137809
FBgn0033672	rho-7	NM_078980
FBgn0033672	rho-7	NM_001299395
FBgn0266027	asRNA:TS15	NA
FBgn0263488	snmRNA:CR43603	NA
FBgn0264879	lncRNA:CR44070	NA
FBgn0263049	lncRNA:let7C	NA
FBgn0264618	lncRNA:CR43958	NA
FBgn0261786	mi	NM_137959
FBgn0034138	RpS15	NM_166183
FBgn0034138	RpS15	NM_137292
NA	NA	NA
FBgn0036451	Helz	NM_206362
FBgn0036451	Helz	NM_001274919
FBgn0036451	Helz	NM_140468
FBgn0286036	sisRNA:CR46358	NA
FBgn0031250	Ent1	NM_001272891
FBgn0031250	Ent1	NM_134675
FBgn0031250	Ent1	NM_164381
FBgn0037409	Osi24	NM_141363
FBgn0027948	msps	NM_001170156
FBgn0027948	msps	NM_001260200
FBgn0027948	msps	NM_001260202
FBgn0027948	msps	NM_001260201
FBgn0027948	msps	NM_169698
FBgn0038675	CG6013	NM_142520
FBgn0034315	CG5721	NM_137462
FBgn0264900	lncRNA:CR44091	NA
FBgn0000500	Dsk	NM_080106
FBgn0032878	CG9316	NM_136207
FBgn0011974	tRNA:Ser-AGA-1-1	NA
FBgn0259184	CG42288	NM_001259387
FBgn0259184	CG42288	NM_137082
FBgn0030319	CG2533	NM_132506
FBgn0029878	Pat1	NM_001272356
FBgn0029878	Pat1	NM_132100
FBgn0029878	Pat1	NM_001272357
FBgn0026324	Taf10b	NM_058070
FBgn0031255	BBS8	NM_134680
FBgn0266224	lncRNA:CR44919	NA
FBgn0000566	Eip55E	NM_137508
FBgn0000566	Eip55E	NM_001299649
FBgn0053878	His2B:CG33878	NM_001032189
FBgn0030665	CG15646	NM_132823
FBgn0030665	CG15646	NM_001298352
FBgn0036597	CG4962	NM_140608
FBgn0033019	CG10395	NM_136323
FBgn0033019	CG10395	NM_165428
FBgn0035687	Prdm13	NM_139775
FBgn0267986	lncRNA:CR46253	NA
FBgn0260986	mei-38	NM_130566
FBgn0260986	mei-38	NM_001347750
FBgn0260986	mei-38	NM_001297854
FBgn0035921	CG13305	NM_001144441
FBgn0035921	CG13305	NM_139993
FBgn0262960	CG43271	NM_001259142
FBgn0262960	CG43271	NM_001299091
FBgn0262960	CG43271	NM_001259141
FBgn0262960	CG43271	NM_001259143
FBgn0003448	sna	NM_057384
FBgn0040747	CG12853	NM_144120
FBgn0036211	CG5946	NM_001043136
FBgn0036211	CG5946	NM_001169951
FBgn0036211	CG5946	NM_001043135
FBgn0036211	CG5946	NM_001300106
FBgn0036211	CG5946	NM_001169950
FBgn0036211	CG5946	NM_168479
FBgn0036211	CG5946	NM_140255
FBgn0036090	CG8009	NM_140143
FBgn0036090	CG8009	NM_168415
FBgn0020307	dve	NM_057893
FBgn0020307	dve	NM_057894
FBgn0052357	tRNA:Met-CAT-1-4	NA
FBgn0031268	cold	NM_001272909
FBgn0031268	cold	NM_134692
FBgn0027495	Smyd4-4	NM_136886
FBgn0261504	7SLRNA:CR42652	NA
FBgn0003378	Sgs8	NM_057371
FBgn0037610	CG8043	NM_141557
FBgn0032294	Vha16-5	NM_135603
